"t1" "t2" "ageFrom" "ageTo" "obs" "fleet"
"1842" 1987.5 1987.75 1 1 0 4
"2047" 1987.5 1987.75 1 1 0 5
"2251" 1987.5 1987.75 1 1 0 6
"445" 1987.5 1987.75 2 2 170.56 1
"1238" 1987.5 1987.75 2 2 165 2
"1883" 1987.5 1987.75 2 2 0 4
"2088" 1987.5 1987.75 2 2 0 5
"2291" 1987.5 1987.75 2 2 0 6
"640" 1987.5 1987.75 3 3 0.33 1
"1361" 1987.5 1987.75 3 3 0 2
"1924" 1987.5 1987.75 3 3 0 4
"2129" 1987.5 1987.75 3 3 0 5
"2331" 1987.5 1987.75 3 3 0 6
"835" 1987.5 1987.75 4 4 0 1
"1484" 1987.5 1987.75 4 4 0 2
"1965" 1987.5 1987.75 4 4 0 4
"2170" 1987.5 1987.75 4 4 0 5
"2371" 1987.5 1987.75 4 4 0 6
"56" 1987.75 1988 0 0 226.7 1
"993" 1987.75 1988 0 0 221 2
"251" 1987.75 1988 1 1 2150.74 1
"1116" 1987.75 1988 1 1 2138 2
"446" 1987.75 1988 2 2 232.98 1
"1239" 1987.75 1988 2 2 230 2
"641" 1987.75 1988 3 3 5 1
"1362" 1987.75 1988 3 3 5 2
"836" 1987.75 1988 4 4 0 1
"1485" 1987.75 1988 4 4 0 2
"57" 1988 1988.25 0 0 0 1
"994" 1988 1988.25 0 0 0 2
"1597" 1988 1988.25 0 0 0 3
"252" 1988 1988.25 1 1 248.57 1
"1117" 1988 1988.25 1 1 245.8 2
"1638" 1988 1988.25 1 1 123 3
"447" 1988 1988.25 2 2 699.92 1
"1240" 1988 1988.25 2 2 698.5 2
"1679" 1988 1988.25 2 2 710 3
"642" 1988 1988.25 3 3 20.1 1
"1363" 1988 1988.25 3 3 19.6 2
"1720" 1988 1988.25 3 3 25 3
"837" 1988 1988.25 4 4 0 1
"1486" 1988 1988.25 4 4 0 2
"1761" 1988 1988.25 4 4 4 3
"58" 1988.25 1988.5 0 0 0 1
"253" 1988.25 1988.5 1 1 95.11 1
"448" 1988.25 1988.5 2 2 73.82 1
"643" 1988.25 1988.5 3 3 0 1
"838" 1988.25 1988.5 4 4 0 1
"59" 1988.5 1988.75 0 0 741.06 1
"995" 1988.5 1988.75 0 0 0 2
"1802" 1988.5 1988.75 0 0 0 4
"2007" 1988.5 1988.75 0 0 0 5
"2212" 1988.5 1988.75 0 0 0 6
"254" 1988.5 1988.75 1 1 183 1
"1118" 1988.5 1988.75 1 1 183.2 2
"1843" 1988.5 1988.75 1 1 0 4
"2048" 1988.5 1988.75 1 1 0 5
"2252" 1988.5 1988.75 1 1 0 6
"449" 1988.5 1988.75 2 2 250 1
"1241" 1988.5 1988.75 2 2 250.4 2
"1884" 1988.5 1988.75 2 2 0 4
"2089" 1988.5 1988.75 2 2 0 5
"2292" 1988.5 1988.75 2 2 0 6
"644" 1988.5 1988.75 3 3 0 1
"1364" 1988.5 1988.75 3 3 0 2
"1925" 1988.5 1988.75 3 3 0 4
"2130" 1988.5 1988.75 3 3 0 5
"2332" 1988.5 1988.75 3 3 0 6
"839" 1988.5 1988.75 4 4 0 1
"1487" 1988.5 1988.75 4 4 0 2
"1966" 1988.5 1988.75 4 4 0 4
"2171" 1988.5 1988.75 4 4 0 5
"2372" 1988.5 1988.75 4 4 0 6
"60" 1988.75 1989 0 0 3145.61 1
"996" 1988.75 1989 0 0 2947 2
"255" 1988.75 1989 1 1 632 1
"1119" 1988.75 1989 1 1 631.7 2
"450" 1988.75 1989 2 2 405 1
"1242" 1988.75 1989 2 2 405 2
"645" 1988.75 1989 3 3 0 1
"1365" 1988.75 1989 3 3 0 2
"840" 1988.75 1989 4 4 0 1
"1488" 1988.75 1989 4 4 0 2
"61" 1989 1989.25 0 0 0 1
"997" 1989 1989.25 0 0 0 2
"1598" 1989 1989.25 0 0 0 3
"256" 1989 1989.25 1 1 1736.3 1
